91320,4091.7969,539.9858
3418972,0.1584,4091.7969,647.9830
34190?br???bS??r????b???r????j3419044,0.1848,4096.6797,756.8823
3419081,0.1320,4096.6797,540.6302
3419117,0.1584,4101.5625,649.5295
3419154,0.1584,4101.5625,649.5295
3419191,0.2111,4091.7969,863.9774
3419227,0.1848,4086.9141,755.0781
3419264,0.1584,4091.7969,647.9830
3419299,0.1320,4091.7969,539.9858
3419336,0.1056,4116.2109,434.5662
3419372,0.1584,4096.6797,648.7563
3419409,0.1848,4091.7969,755.9802
3419445,0.1584,4091.7969,647.9830
3419482,0.2111,4091.7969,863.9774
3419517,0.1584,4101.5625,649.5295
3419554,0.1320,4101.5625,541.2746
3419591,0.1584,4096.6797,648.7563
3419627,0.2111,4096.6797,865.0084
3419664,0.1584,4096.6797,648.7563
3419700,0.1848,4091.7969,755.9802
3419737,0.1848,4086.9141,755.0781
3419772,0.1584,4091.7969,647.9830
3419809,0.2903,4082.0313,1185.1337
3419846,0.1848,4072.2656,752.3717
3419883,0.1584,4091.7969,647.9830
3419919,0.1848,4096.6797,756.8823
3419956,0.2903,4096.6797,1189.3866
3419994,0.1584,4086.9141,647.2098
3420029,0.1848,4042.9688,746.9590
3420066,0.2111,4086.9141,862.9464
3420102,0.1584,4096.6797,648.7563
3420139,0.1584,4082.0313,646.4365
3420175,0.1584,4096.6797,648.7563
3420212,0.1584,4101.5625,649.5295
3420248,0.1584,4101.5625,649.5295
3420284,0.1584,4125.9766,653.3958
3420321,0.1848,4101.5625,757.7845
3420357,0.1848,4091.7969,755.9802
3420394,0.2111,4145.5078,875.3184
3420430,0.1056,4091.7969,431.9887
3420467,0.2111,4086.9141,862.9464
3420503,0.1320,4101.5625,541.2746
3420539,0.1584,4101.5625,649.5295
3420575,0.1848,4091.7969,755.9802
3420612,0.1584,4096.6797,648.7563
3420648,0.1848,4091.7969,755.9802
3420685,0.1584,4101.5625,649.5295
3420722,0.2375,4204.1016,998.6517
3420758,0.1320,4096.6797,540.6302
3420794,0.1320,4096.6797,540.6302
3420830,0.1848,4096.6797,756.8823
3420867,0.1848,4096.6797,756.8823
3420903,0.1848,4086.9141,755.0781
3420940,0.1320,4086.9141,539.3415
3420976,0.2375,4082.0313,969.6548
3421012,0.1848,4086.9141,755.0781
3421048,0.1320,4096.6797,540.6302
3421085,0.2903,4091.7969,1187.9689
3421123,0.1584,4096.6797,648.7563
3421159,0.1848,4091.7969,755.9802
3421196,0.2111,4091.7969,863.9774
3421232,0.1584,4091.7969,647.9830
3421268,0.1320,4125.9766,544.4965
3421304,0.2375,4096.6797,973.1344
3421341,0.1584,4101.5625,649.5295
3421377,0.1848,4218.7500,779.4355
3421414,0.2375,4086.9141,970.8147
