781,0.2111,4072.2
4669372,0.1584,4077.1484,645.6633
4669409,0.1848,4082.0313,754.1760
4669445,0.1584,4072.2656,644.8900
4669481,0.2111,4072.2656,??	??SH??S???b?r????b????r????b???r????j4669554,0.1584,4082.0313,646.4365
4669591,0.1056,4091.7969,431.9887
4669627,0.1848,4072.2656,752.3717
4669664,0.2111,4072.2656,859.8534
4669700,0.1848,4062.5000,750.5675
4669736,0.2903,4077.1484,1183.7161
4669773,0.1848,4077.1484,753.2739
4669810,0.1848,4082.0313,754.1760
4669846,0.1848,4062.5000,750.5675
4669883,0.2111,4077.1484,860.8844
4669920,0.1848,4072.2656,752.3717
4669956,0.1320,4082.0313,538.6971
4669992,0.2111,4082.0313,861.9154
4670028,0.1584,4082.0313,646.4365
4670065,0.1848,4077.1484,753.2739
4670101,0.1848,4072.2656,752.3717
4670138,0.1584,4057.6172,642.5703
4670174,0.1584,4082.0313,646.4365
4670211,0.1584,4057.6172,642.5703
4670246,0.1848,4145.5078,765.9036
4670283,0.1320,4086.9141,539.3415
4670320,0.1584,4077.1484,645.6633
4670356,0.1320,4082.0313,538.6971
4670393,0.1848,4082.0313,754.1760
4670429,0.1584,4077.1484,645.6633
4670466,0.1320,4082.0313,538.6971
4670501,0.3167,4082.0313,1292.8730
4670539,0.2375,4082.0313,969.6548
4670575,0.2111,4082.0313,861.9154
4670612,0.1848,4086.9141,755.0781
4670648,0.1584,4082.0313,646.4365
4670685,0.2375,4082.0313,969.6548
4670722,0.1584,4082.0313,646.4365
4670757,0.1848,4077.1484,753.2739
4670794,0.1848,4082.0313,754.1760
4670830,0.1848,4111.3281,759.5887
4670867,0.1056,4086.9141,431.4732
4670903,0.2375,4077.1484,968.4949
4670940,0.2111,4072.2656,859.8534
4670976,0.1320,4057.6172,535.4752
4671012,0.1584,4082.0313,646.4365
4671049,0.2903,4072.2656,1182.2985
4671086,0.1584,4082.0313,646.4365
4671123,0.1320,4082.0313,538.6971
4671159,0.1848,4077.1484,753.2739
4671196,0.0792,4082.0313,323.2183
4671232,0.1584,4082.0313,646.4365
4671268,0.2111,4086.9141,862.9464
4671304,0.1584,4057.6172,642.5703
4671341,0.1848,4082.0313,754.1760
4671377,0.2111,4038.0859,852.6364
4671414,0.2375,4086.9141,970.8147
4671451,0.1848,4082.0313,754.1760
4671486,0.2111,4082.0313,861.9154
4671523,0.1320,4077.1484,538.0527
4671559,0.1848,4067.3828,751.4696
4671596,0.1584,4082.0313,646.4365
4671632,0.1848,4091.7969,755.9802
4671669,0.2111,4052.7344,855.7294
4671705,0.2111,4077.1484,860.8844
4671741,0.1320,4082.0313,538.6971
4671777,0.1584,4111.3281,651.0760
4671814,0.2111,4082.0313,861.9154
4671851,0.2111,4082.0313,861.9154
4671887,0.2903,4077.1484,1183.7161
4671925,0.2375,4077.1484,968.4949
4671961,0.1320,4086.9141,539.3415
4671997,0.2111,4072.2656,859.8534
4672033,0.1848,4086.9141,755.0781
4672070,0.1848,4072.2656,752.3717
4672106,0.1584,4077.1484,645.6633
4672143,0.1848,4091.7969,755.9802
4672179,0.1320,4067.3828,536.7640
4672216,0.1848,4077.1484,753.2739
4672252,0.1848,4082.0313,754.1760
4672288,0.2903,4077.1484,1183.7161
4672326,0.1320,4062.5000,536.1196
4672362,0.1848,4072.2656,752.3717
4672399,0.1320,4086.9141,539.3415
4672435,0.2111,4101.5625,866.0394
4672472,0.2639,4072.2656,1074.8167
4672508,0.1320,4077.1484,538.0527
4672545,0.2639,4072.2656,1074.8167
4672583,0.1848,4086.9141,755.0781
4672619,0.1056,4077.1484,430.4422
4672656,0.1584,4077.1484,645.6633
4672692,0.1848,4082.0313,754.1760
4672729,0.1584,4067.3828,644.1168
4672764,0.2639,4082.0313,1077.3942
4672802,0.3167,4077.1484,1291.3265
4672839,0.1320,4106.4453,541.9189
4672876,0.1848,4091.7969,755.9802
4672913,0.1848,4082.0313,754.1760
4672949,0.1584,4077.1484,645.6633
4672986,0.1320,4028.3203,531.6090
4673021,0.1848,4072.2656,752.3717
4673058,0.1848,4082.0313,754.1760
4673094,0.1848,4096.6797,756.8823
4673131,0.1056,4082.0313,430.9577
4673167,0.1584,4057.6172,642.5703
4673204,0.1848,4072.2656,752.3717
4673240,0.1848,4062.5000,750.5675
4673276,0.1320,4072.2656,537.4083
4673313,0.1584,4077.1484,645.6633
4673349,0.1056,4072.2656,429.9267
4673386,0.2111,4077.1484,860.8844
4673422,0.1848,4072.2656,752.3717
4673459,0.1584,4082.0313,646.4365
4673495,0.1848,4077.1484,753.2739
4673531,0.1848,4077.1484,753.2739
4673567,0.1584,4077.1484,645.6633
4673604,0.2639,4077.1484,1076.1055
4673641,0.3167,4077.1484,1291.3265
4673679,0.1056,4082.0313,430.9577
4673716,0.2375,4082.0313,969.6548
4673752,0.3431,4077.1484,1398.9371
4673789,0.1848,4072.2656,752.3717
4673825,0.1848,4082.0313,754.1760
4673862,0.2375,4199.2188,997.4918
4673898,0.1584,4077.1484,645.6633
4673935,0.1320,4086.9141,539.3415
4673971,0.2903,4033.2031,1170.9574
4674009,0.1320,4077.1484,538.0527
4674045,0.1848,4082.0313,754.1760
4674081,0.1848,4077.1484,753.2739
4674118,0.1584,4077.1484,645.6633
4674154,0.2639,4082.0313,1077.3942
4674192,0.1848,4086.9141,755.0781
4674228,0.1320,4077.1484,538.0527
4674265,0.1584,4082.0313,646.4365
4674300,0.1320,4082.0313,538.6971
4674337,0.2639,4082.0313,1077.3942
4674374,0.1320,4086.9141,539.3415
4674411,0.1584,4062.5000,643.3435
4674448,0.1584,4082.0313,646.4365
4674484,0.1848,4072.2656,752.3717
4674521,0.1848,4082.0313,754.1760
4674556,0.1848,4077.1484,753.2739
4674593,0.1320,4082.0313,538.6971
4674629,0.1320,4062.5000,536.1196
4674666,0.1848,4082.0313,754.1760
4674702,0.1584,4057.6172,642.5703
4674739,0.1848,4077.1484,753.2739
4674775,0.1848,4077.1484,753.2739
4674811,2.5338,3774.4141,9563.5488
4674849,3.0617,3681.6406,11271.9150
4674887,3.1672,3588.8672,11366.7670
4674926,2.9033,3715.8203,10788.1180
4674964,2.3754,3837.8906,9116.6104
4675002,2.4810,3789.0625,9400.6514
4675039,1.9531,3862.3047,7543.5640
4675077,1.9003,3852.5391,7321.1255
4675115,1.6628,3872.0703,6438.4619
4675151,1.7420,3876.9531,6753.5605
4675189,1.8212,3867.1875,7042.7559
4675226,1.6892,3901.3672,6590.1475
4675264,1.5836,3906.2500,6185.9956
4675301,1.7420,3916.0156,6821.6069
4675339,1.6628,3886.7188,6462.8188
4675377,2.0059,3847.6563,7718.0601
4675414,1.7684,3886.7188,6873.1567
4675451,1.9267,3818.3594,7356.9531
4675488,1.9003,3847.6563,7311.8467
4675526,1.8739,3872.0703,7256.0439
4675563,2.0323,3823.2422,7769.9971
4675601,2.0587,3852.5391,7931.2197
4675638,1.8212,3862.3047,7033.8638
4675676,1.6628,3896.4844,6479.0571
4675714,1.8476,3857.4219,7126.7822
4675750,1.7948,3857.4219,6923.1602
4675788,1.8212,3852.5391,7016.0791
4675825,1.7948,3867.1875,6940.6870
4675863,1.6100,3901.3672,6281.2344
4675900,2.0587,3837.8906,7901.0630
4675938,1.9267,3886.7188,7488.6631
4675976,1.8739,3857.4219,7228.5938
4676013,1.8739,3872.0703,7256.0439
4676050,1.6628,3876.9531,6446.5811
4676087,2.0587,3837.8906,7901.0630
4676125,1.7420,3857.4219,6719.5376
4676162,1.7948,3881.8359,6966.9775
4676200,1.7420,3881.8359,6762.0664
4676237,1.7684,3896.4844,6890.4258
4676275,1.8476,3886.7188,7180.9097
4676313,1.7420,3886.7188,6770.5723
4676349,1.7948,3867.1875,6940.6870
4676387,1.7420,3862.3047,6728.0435
4676424,1.9795,3847.6563,7616.5068
4676462,1.8476,3862.3047,7135.8032
4676499,1.7156,3862.3047,6626.1030
4676537,1.6364,3847.6563,6296.3125
4676575,1.9003,3867.1875,7348.9624
4676612,1.7156,3901.3672,6693.1182
4676649,1.7420,3867.1875,6736.5493
4676686,1.7420,3881.8359,6762.0664
4676724,1.7948,3872.0703,6949.4507
4676761,1.9267,3837.8906,7394.5845
4676799,1.6628,3857.4219,6414.1045
4676836,1.7684,3867.1875,6838.6182
4676874,1.5836,3886.7188,6155.0654
4676912,1.9795,3862.3047,7645.5039
4676948,1.9267,3940.4297,7592.1499
4676986,1.8476,3886.7188,7180.9097
4677023,1.7420,3896.4844,6787.5840
4677061,1.8212,3896.4844,7096.1104
4677098,1.8212,3872.0703,7051.6484
4677136,1.8476,3774.4141,6973.4209
4677174,1.7156,3862.3047,6626.1030
